,排名,上年排名,公司名称(中英文),营业收入(百万美元),利润(百万美元),国家
153,154,130,安泰保险（AETNA),60535.0,1904,美国
154,155,180,联邦快递（FEDEX),60319.0,2997,美国
155,156,146,欧尚集团（AUCHAN HOLDING),60027.6,310,法国
156,157,141,艾伯森公司（ALBERTSONS COS.),59924.6,46.3,美国
157,158,149,沃达丰集团（VODAFONE GROUP),59838.2,2849.4,英国
158,159,155,联合技术公司（UNITED TECHNOLOGIES),59837.0,4552,美国
159,160,148,保德信金融集团（PRUDENTIAL FINANCIAL),59689.0,7863,美国
160,161,162,中国航空工业集团公司（AVIATION INDUSTRY CORP. OF CHINA),59262.5,363.1,中国
161,162,204,中国宝武钢铁集团（CHINA BAOWU STEEL GROUP),59255.1,21.9,中国
162,163,192,泰国国家石油有限公司（PTT),58819.0,3984.1,泰国
163,164,153,西班牙电话公司（TELEFÓNICA),58624.2,3530.4,西班牙
164,165,--,丰田通商公司（TOYOTA TSUSHO),58586.4,1175.4,日本
165,166,154,巴西布拉德斯科银行（BANCO BRADESCO),58061.8,5353.7,巴西
166,167,211,中国化工集团公司（CHEMCHINA),57989.4,-739,中国
167,168,171,交通银行（BANK OF COMMUNICATIONS),57711.4,10390.3,中国
168,169,169,瑞士罗氏公司（ROCHE GROUP),56634.2,8770.6,瑞士
169,170,206,百威英博（ANHEUSER-BUSCH INBEV),56444.0,7996,比利时
170,171,163,荷兰国际集团（ING GROUP),56347.3,6159.1,荷兰
171,172,49,英国法通保险公司（LEGAL & GENERAL GROUP),55999.4,2434.9,英国
172,173,182,路易达孚集团（LOUIS DREYFUS),55440.0,317,荷兰
173,174,179,西斯科公司（SYSCO),55371.1,1142.5,美国
174,175,151,巴西银行（BANCO DO BRASIL),55268.6,3329.8,巴西
175,176,161,华特迪士尼公司（DISNEY (WALT)),55137.0,8980,美国
176,177,164,三菱日联金融集团（MITSUBISHI UFJ FINANCIAL GROUP),54768.8,8932.5,日本
177,178,201,LG电子（LG ELECTRONICS),54314.2,1526.7,韩国
178,179,167,Seven & I 控股公司（SEVEN & I HOLDINGS),54217.1,1626.7,日本
179,180,176,美洲电信（AMÉRICA MÓVIL),54006.0,1550.2,墨西哥
180,181,261,京东集团（JD.COM),53964.5,-22.5,中国
181,182,190,中国电力建设集团有限公司（POWERCHINA),53870.1,946.7,中国
182,183,166,哈门那公司（HUMANA),53767.0,2448,美国
183,184,208,韩国浦项制铁公司（POSCO),53244.3,2438.3,韩国
184,185,159,山东魏桥创业集团有限公司（SHANDONG WEIQIAO PIONEERING),53203.0,1270,中国
185,186,185,东京电力公司（TOKYO ELECTRIC POWER),52809.1,2870.9,日本
186,187,173,辉瑞制药有限公司（PFIZER),52546.0,21308,美国
